model,stat,rule,scale,mae,nmae,nbias,slope,corr,nbias_topform
rb,receiving_tds,D:blend a=0.75,0.06424242424242424,0.1219634381502036,1.8984874806399619,0.11945433274448015,0.9895480617238006,0.20663540314238552,0.11945433274448015
rb,receiving_yards,current(prod),10.82969696969697,11.184364172829637,1.0327495038988697,0.18722263820274196,0.9036154572170009,0.43430205891380225,0.017813397715637672
rb,receiving_yards,raw_glm,10.82969696969697,10.429831734509719,0.963076969161175,0.13127366348140584,0.7106344860565176,0.46997964132493475,0.19639962265661365
rb,receiving_yards,A:shrink->trail,10.82969696969697,10.857048312914186,1.0025255871234209,0.17159488717439536,0.7125306401204546,0.4519235828860263,0.24364827292943134
rb,receiving_yards,B:coldstart,10.82969696969697,10.420036722653261,0.9621725106261055,0.09993658335397022,0.7092485318880469,0.4682433400296121,0.22612180873778717
rb,receiving_yards,B2:coldstart_wide,10.82969696969697,10.458099112783241,0.9656871417590435,0.11947036276671481,0.7208388273798487,0.471016917746814,0.2262886539321841
rb,receiving_yards,D:blend a=0.75,10.82969696969697,10.636833942368215,0.9821912812640636,0.15519467910103693,0.7387380950379597,0.46879337586033143,0.24123316956996907
rb,receptions,current(prod),1.4436363636363636,1.2034588220459965,0.8336301664046576,0.14171878872971488,1.0125644472964292,0.5040592434233812,-0.07467972587288858
rb,receptions,raw_glm,1.4436363636363636,1.1111683640374532,0.7697010078345079,0.08191962801092945,0.8039481307319272,0.5523058189001285,0.08590244553994415
rb,receptions,A:shrink->trail,1.4436363636363636,1.1660811004741778,0.8077387975576799,0.13523056222354804,0.7970396013252244,0.5363554489370256,0.13957516395176287
rb,receptions,B:coldstart,1.4436363636363636,1.1232408188088614,0.778063539477171,0.07948686534575447,0.8080382787024785,0.5535439761946749,0.10993730312873921
rb,receptions,B2:coldstart_wide,1.4436363636363636,1.1262131443163002,0.7801224551309384,0.09337102378833997,0.8191301220566226,0.5542311607518214,0.10993730312873921
rb,receptions,D:blend a=0.75,1.4436363636363636,1.1341581696098677,0.7856259361277421,0.10987404097537287,0.830849784066174,0.5546462252203591,0.12195473192313674
rb,rushing_tds,current(prod),0.23636363636363636,0.3613235050398269,1.5286763674761907,0.03366209988801809,1.2896804752894344,0.30848611861715713,-0.11152468143145756
rb,rushing_tds,raw_glm,0.23636363636363636,0.3423421715790991,1.448370725911573,0.0021287388524960137,0.9571399778854788,0.3233383827180494,0.052637612548874654
rb,rushing_tds,A:shrink->trail,0.23636363636363636,0.3742881072919689,1.5835266077737145,0.20052891000994763,0.7889811528117906,0.28953190042991733,0.32681744335921187
rb,rushing_tds,B:coldstart,0.23636363636363636,0.3566893225931607,1.5090702109710645,0.09317767877979291,0.936379180551161,0.31818896684451975,0.20919204614343498
rb,rushing_tds,B2:coldstart_wide,0.23636363636363636,0.356231123319175,1.507131675581125,0.09542697875911421,0.9289124129590439,0.3191802935830639,0.20551591169196318
rb,rushing_tds,D:blend a=0.75,0.23636363636363636,0.36322337329355914,1.5367142716265965,0.1421086070810366,0.8971789390174592,0.31398877750957166,0.2819550612635079
rb,rushing_yards,current(prod),32.53030303030303,22.25299424298788,0.6840696879539824,0.036487548148996025,1.3090675136919034,0.593527419440972,-0.14454368515828858
rb,rushing_yards,raw_glm,32.53030303030303,20.225538639861256,0.6217445506431499,0.007563838870237036,0.9442377093028305,0.6150578651461345,0.013828966688816353
rb,rushing_yards,A:shrink->trail,32.53030303030303,20.680006282154633,0.6357151442115536,0.04258409253850278,0.9139423812020587,0.6089814893000705,0.05867521666742819
rb,rushing_yards,B:coldstart,32.53030303030303,19.90368098606912,0.6118504634748775,-0.0013737065691933172,0.9131395961126614,0.6218157625487923,0.04312454093444139
rb,rushing_yards,B2:coldstart_wide,32.53030303030303,19.971888799444766,0.6139472104160943,0.005732331925465587,0.921824008283387,0.622005033442941,0.04312454093444139
rb,rushing_yards,D:blend a=0.75,32.53030303030303,20.288078946870062,0.6236670752181761,0.029597765688116066,0.9361071219280547,0.6221887886196299,0.0577723280572539
rb,targets,current(prod),1.8533333333333333,1.4479609996060114,0.7812739206507257,0.1654876430087176,0.9948739140123388,0.5316759232710565,-0.038849379653189325
rb,targets,raw_glm,1.8533333333333333,1.315876227727817,0.7100051588459445,0.10218090291020149,0.7877882400190425,0.5782599351166988,0.12963454886872605
rb,targets,A:shrink->trail,1.8533333333333333,1.3628956674726755,0.7353753601471271,0.13255684509716517,0.7900403025480961,0.5655904398771289,0.1514761611449439
rb,targets,B:coldstart,1.8533333333333333,1.313111460169736,0.7085133777894259,0.08930994766485152,0.7938831886309593,0.5820017299330392,0.13954967330865073
rb,targets,B2:coldstart_wide,1.8533333333333333,1.319148391817774,0.7117707150095903,0.10132719498570698,0.8028153047364671,0.5818136257786451,0.13954967330865073
rb,targets,D:blend a=0.75,1.8533333333333333,1.3286892448333543,0.716918657284184,0.115125758903682,0.8170243649416915,0.5816965867273105,0.14450723552861283
wr_te,carries,current(prod),0.1329479768786127,0.22862237695134868,1.7196378788079707,-0.038976104549917276,2.932964222382358,0.2809319063742017,-0.692840311989726
wr_te,carries,raw_glm,0.1329479768786127,0.2196135652361067,1.6518759472107158,-0.06619571356451424,1.4922150515728902,0.31028592146901257,-0.6240039083181069
wr_te,carries,A:shrink->trail,0.1329479768786127,0.23333998795853436,1.755122518122889,0.22873652391929608,1.0433092482276256,0.3953640198104166,-0.2606678949350014
wr_te,carries,B:coldstart,0.1329479768786127,0.22506053759407849,1.6928466523380687,0.12131265221938753,1.5045296958754422,0.4527597480668593,-0.3627033188658956
wr_te,carries,B2:coldstart_wide,0.1329479768786127,0.22549070492971807,1.696082258819184,0.07846397654515654,1.5437480827896928,0.41000457515470734,-0.4409282393942429
wr_te,carries,D:blend a=0.75,0.1329479768786127,0.22858750367471387,1.7193755711185001,0.15031783049321532,1.4425098784770134,0.4335519111319489,-0.35025867836501706
wr_te,receiving_tds,current(prod),0.18497109826589594,0.3052201463332149,1.6500964161139433,0.09422430706032421,1.2348573384431345,0.24637255278123535,-0.17174501184842353
wr_te,receiving_tds,raw_glm,0.18497109826589594,0.2939500992140171,1.58916772387578,0.06736042806953461,0.8914462043762906,0.2557604460162355,-0.026541919758739572
wr_te,receiving_tds,A:shrink->trail,0.18497109826589594,0.3205251354733955,1.7328390136530445,0.26925984031898054,0.7364465975014969,0.22550091139231235,0.3600001004552975
wr_te,receiving_tds,B:coldstart,0.18497109826589594,0.30525403957539116,1.6502796514544584,0.15591873212662355,0.9133423035971221,0.25713950823614085,0.19532386034282834
wr_te,receiving_tds,B2:coldstart_wide,0.18497109826589594,0.3049961791033039,1.6488855932772368,0.158549885212891,0.9133578670447188,0.2603330113996655,0.17981410068414203
wr_te,receiving_tds,D:blend a=0.75,0.18497109826589594,0.31056132810611686,1.6789721800736943,0.20581983405681456,0.8865126345868757,0.2581497669634384,0.282992110905583
wr_te,receiving_yards,current(prod),27.616486554410656,21.263159126522194,0.7699443984168303,0.15091753191421567,0.9439550945163617,0.5111067537665832,-0.016317547158408687
