alpha,c,k,clamp,nmae,tf_bias,tf_early,slope_err,obj
0.0,1,4.0,0.25-2.5,0.9884922957132543,0.1579111501150903,0.2924945955978468,0.3241622287788597,1.1742173810409502
0.5,8,4.0,0.4-1.8,0.9797641519008704,0.1373042685272795,0.3204014277858488,0.1771121541490005,1.1742909329256148
0.5,2,4.0,0.4-1.8,0.994044133144302,0.13034242678927221,0.2955034944869449,0.1580472767829854,1.1743814870850924
0.5,2,1.0,0.4-1.8,0.9748966487835907,0.1448630521010949,0.3268666660292762,0.1982173602040023,1.1745457448235026
0.75,1,1.0,None-None,0.9710932794585663,0.1286162134307882,0.3431854801107039,0.16283292234650973,1.174840072871615
0.5,0,1.0,0.4-1.8,0.9908792906374381,0.13673459284041695,0.3003936702552281,0.19219772459111387,1.1752597739751565
0.75,8,4.0,None-None,0.9759787036205986,0.1262974153745197,0.33560597503204376,0.15475583191831882,1.1753560449802505
0.25,0,2.0,0.4-1.8,0.9952437306591289,0.1256516318026756,0.29747103453684826,0.17409005786262444,1.1753921558782219
1.0,8,2.0,None-None,0.9659202593278203,0.13810025823119526,0.3506208311109405,0.19044942402210074,1.1757557394410894
1.0,4,1.0,0.25-2.5,0.9644264227130364,0.14439474655781104,0.3518533164014958,0.20319524307973405,1.176451767553237
0.75,8,4.0,0.25-2.5,0.9757031186435917,0.1347521560470095,0.33488272148434095,0.17044174428593495,1.1768325183975146
0.5,8,2.0,0.4-1.8,0.972787643016289,0.1456906229275458,0.3371298709407738,0.20261905784368886,1.1777752342185623
0.5,4,1.0,0.4-1.8,0.9715987858895724,0.14845469938670006,0.3394685507193849,0.20898705217649874,1.1784467360959399
0.25,1,4.0,0.4-1.8,0.9964403643410855,0.1388281773471376,0.29527307845116063,0.18163618500700396,1.17878394790345
0.75,1,1.0,0.25-2.5,0.9729911421934255,0.13535773602755422,0.3448672735214563,0.17746936974112118,1.1792642129610422
0.0,2,4.0,0.4-1.8,0.9905557417654909,0.1546282229312762,0.3034344493370574,0.19834556646262697,1.1809300221668386
0.5,1,4.0,0.4-1.8,0.9997819953437325,0.12964641025730778,0.29917800036303066,0.15609904612299805,1.1817825980895746
1.0,8,2.0,0.25-2.5,0.9672499640116343,0.14701608184068596,0.3563738343979246,0.20073811920149104,1.1821909016707681
0.5,8,1.0,0.4-1.8,0.9694571300599953,0.1516407766343239,0.34985216507460626,0.21842717436876088,1.1822934067558792
0.5,0,2.0,0.4-1.8,0.9983670030356645,0.13197469162794964,0.3061955286593088,0.1754276794965659,1.1844584402723064
0.75,2,2.0,None-None,0.9790410587140151,0.1252833852486938,0.35691027644515194,0.1548201779817651,1.1888170432487646
0.75,8,1.0,0.4-1.8,0.9701665453379333,0.15816752630146166,0.36311166304532827,0.2232040348991534,1.191264258435963
0.75,2,2.0,0.25-2.5,0.9794216581236085,0.13617511919442854,0.35572475603040304,0.1707942793142961,1.191327815937417
0.5,0,4.0,0.25-2.5,1.0048072429130386,0.11261244117336194,0.3170812472959273,0.14556371328836992,1.1915009768543428
0.5,0,4.0,None-None,1.0074611492481942,0.10566026513561227,0.3170812472959273,0.16760217318188478,1.192416839180061
0.75,4,1.0,0.4-1.8,0.9727072483018109,0.158023712397349,0.36275844414646125,0.21633910616332674,1.1935923984743788
1.0,2,1.0,None-None,0.9686803453030773,0.13763619057181556,0.38386765803957146,0.18781643676691473,1.195023221965817
0.75,8,2.0,0.4-1.8,0.9741973853173543,0.1580227224133071,0.36278097378479096,0.2125567184904603,1.1950935528130766
0.0,0,2.0,0.4-1.8,0.9947751884842287,0.1429790215424825,0.3323392877635723,0.17729888384568648,1.1966895877516357
0.75,2,1.0,0.4-1.8,0.9765026447831056,0.15769201580424247,0.36299833172770696,0.20866467591976204,1.1974248145980195
1.0,2,1.0,0.25-2.5,0.9704080081361188,0.14820109058600375,0.38347813184914065,0.19770642891813484,1.1991973467071901
1.0,8,1.0,0.4-1.8,0.9709615114391149,0.16469977349365095,0.37661685511484627,0.2279930124783154,1.2004448823699507
0.75,4,2.0,0.4-1.8,0.9794251206653705,0.1576488126973201,0.36461386032076243,0.20253362362565286,1.2011442540000816
0.25,0,4.0,0.4-1.8,1.0043788530763031,0.14947051529841995,0.32128730487131957,0.1945529715362804,1.202390134336568
0.0,1,4.0,0.4-1.8,0.9963044159483154,0.16648280737577406,0.329606882185359,0.21326870986933485,1.2027285588849386
0.5,0,4.0,0.4-1.8,1.0085411221860692,0.1313681902242457,0.32332598864590834,0.16142235165566135,1.2030461640650847
0.75,1,1.0,0.4-1.8,0.9811115870682202,0.1573051131732887,0.36820734562468166,0.20329922689891616,1.204541538173883
0.75,8,4.0,0.4-1.8,0.9824884902946036,0.15760514984723836,0.3660936760181261,0.19656846171298073,1.2049366157654762
0.75,4,4.0,0.25-2.5,0.9867259922029606,0.1401331447585649,0.36743610223563655,0.16524931492011677,1.2054773295104202
0.75,4,4.0,None-None,0.9876442980995013,0.135403483554114,0.3682016034383683,0.14832415332464352,1.205595970707214
0.75,1,2.0,None-None,0.986489733641812,0.1291910461582986,0.38236270336410993,0.1564723126648662,1.2099688468634417
1.0,4,1.0,0.4-1.8,0.9739614431616054,0.167531465865863,0.3884584488877969,0.22382316788585035,1.2100735340719695
0.0,0,4.0,0.25-2.5,0.9978201896323303,0.1770007813748064,0.3374826188715293,0.33559571604428684,1.2108116944117966
0.75,2,2.0,0.4-1.8,0.9858231398217321,0.15723649831759892,0.3718516332486601,0.19539787929749466,1.2110580810254619
0.75,1,2.0,0.25-2.5,0.98666721896696,0.13882608077241293,0.3815972021613783,0.17255653649316818,1.2121723402407523
1.0,4,2.0,None-None,0.9754336754903856,0.14669297066026246,0.40044513224191136,0.18848448892324796,1.2123294842764067
1.0,4,2.0,0.25-2.5,0.975788401968111,0.15545273621569913,0.3977819128269032,0.19834394268574204,1.2135425424354875
1.0,8,2.0,0.4-1.8,0.9758495256989111,0.1702521065375563,0.3920344210550384,0.2224980515237909,1.2144297628608194
0.75,0,1.0,None-None,0.9865680886935977,0.12330645639622695,0.39696900588082934,0.1785128352971692,1.2158792057330692
0.75,4,4.0,0.4-1.8,0.9913211102586835,0.15949911888867543,0.3762168543542195,0.18718733902617665,1.219304317157962
0.75,0,1.0,0.25-2.5,0.9881943763177946,0.1387262660839668,0.39670245533826604,0.19210638819657594,1.2212271705079192
0.0,0,4.0,None-None,1.0022953166879738,0.22474904243830238,0.3264992763402158,0.5198868585360307,1.2217322154676573
1.0,1,1.0,None-None,0.9756820910614885,0.140653688297118,0.4278682577652194,0.19222841461956097,1.2247796420183779
1.0,2,1.0,0.4-1.8,0.9785255478790847,0.17038308262258575,0.40787914084123744,0.21979336136791316,1.2250608889553498
0.75,1,2.0,0.4-1.8,0.992230715220903,0.15871981893926967,0.387835414373267,0.1935059730963162,1.225828377142354
1.0,8,4.0,0.25-2.5,0.9814832509695712,0.16504165939523613,0.40981731492317625,0.2000721394739718,1.2276523232799683
1.0,1,1.0,0.25-2.5,0.9771900074703402,0.1540075331337651,0.4258879794922924,0.20093854739759232,1.2286358804999276
1.0,8,4.0,None-None,0.9821751683884913,0.1617868882307349,0.4122523798582412,0.1905888984856631,1.2287480803752955
0.75,2,4.0,0.25-2.5,0.9970260454888282,0.146409762578581,0.399719165696977,0.16680436658805647,1.233488068981962
0.0,0,4.0,0.4-1.8,1.0047895101443896,0.18267470004718592,0.3665304247934205,0.22787807100643628,1.2337233975528963
0.75,2,4.0,None-None,0.9981327737978005,0.14321280224131736,0.399719165696977,0.1501048408701289,1.2337955572066184
1.0,4,2.0,0.4-1.8,0.9822753118578654,0.1771814849316796,0.41607563202250736,0.2181908921876003,1.234608499102039
0.75,0,1.0,0.4-1.8,0.9952134903943826,0.15891930275330804,0.40709488487662304,0.2101207490206473,1.238490758521021
0.75,2,4.0,0.4-1.8,1.0004706082287427,0.1625444391741157,0.3993520599001219,0.18474239251166547,1.2407827479723326
1.0,8,4.0,0.4-1.8,0.9863205178664539,0.1853657085218721,0.42257771579393405,0.21733046075083642,1.243950802893889
1.0,1,1.0,0.4-1.8,0.9843436724253483,0.17537035569568002,0.43805767738353824,0.2193952604156448,1.2472151000410374
0.75,0,2.0,None-None,1.0001424551505707,0.13645688135443348,0.4308796930356978,0.17165614174462054,1.249696522007028
0.75,0,2.0,0.25-2.5,1.0001560187884893,0.14484342576732082,0.4308796930356978,0.18699680500130167,1.2518067217481683
1.0,2,2.0,None-None,0.985488277671951,0.160275197228804,0.455833038827963,0.1961997430933338,1.2534735963931336
1.0,2,2.0,0.25-2.5,0.9855788377717459,0.16680161747366526,0.4539390994340236,0.2047979459679072,1.254248791857174
0.75,1,4.0,0.25-2.5,1.0048810307977822,0.15183197120106576,0.4250013711488831,0.17115457467554868,1.2553397091724903
0.75,1,4.0,None-None,1.0060455326623534,0.14932714992223325,0.4250013711488831,0.15534374323569713,1.2558780057173533
0.75,0,2.0,0.4-1.8,1.0050353983966422,0.1631695927628498,0.4314580551181738,0.20316061120238185,1.2615568241464414
