stat,mkt,p_glm,p_fan
receptions,0.46499999999999997,0.48690293057134043,0.5366624246079073
rushing_yards,0.485,0.4179062202281243,0.5003330601907153
receiving_yards,0.35,0.4602746445803546,0.3137099461211241
receptions,0.605,0.6038203667934425,0.5403586124008758
rushing_yards,0.525,0.8013075842392371,0.6013397975251965
receiving_yards,0.475,0.4947158998807005,0.4104200441365152
receptions,0.515,0.38381827063607804,0.5566693611838448
rushing_yards,0.48,0.5307179975399872,0.5799412129037544
receiving_yards,0.61,0.430472372673091,0.40274645086518
receptions,0.605,0.33169425595019836,0.48399941547002273
rushing_yards,0.52,0.3086012557652654,0.306818883754089
receiving_yards,0.385,0.3659298234845319,0.2685640264610918
receptions,0.45999999999999996,0.25818457012155993,0.2682006547254357
rushing_yards,0.44,0.04585324475517771,0.40070909257050813
rushing_yards,0.485,0.4947681824191299,0.6074859386895705
receiving_yards,0.52,0.5825329489475647,0.568891908425786
receptions,0.55,0.4906710768416905,0.5694099963682511
rushing_yards,0.49,0.40682569835897386,0.4869939230868521
carries,0.45499999999999996,0.49992028342456285,0.4591032957851398
rushing_yards,0.49,0.13762263077283754,0.5030158040029943
carries,0.55,0.15537470767382708,0.609491608856001
receptions,0.45499999999999996,0.3726807710277621,0.5573767509588472
rushing_yards,0.5,0.8168026595798613,0.6072240511930579
rushing_yards,0.525,0.2138681887273418,0.4310020926023275
carries,0.475,0.09997269289063676,0.10718808062398849
receiving_yards,0.32999999999999996,0.365716539833568,0.35173853254022336
receptions,0.5900000000000001,0.5291331855209233,0.717066280022304
rushing_yards,0.52,0.5903459771285287,0.49463297382476873
carries,0.515,0.7258385163425204,0.5346200642735255
receiving_yards,0.51,0.29188725741212124,0.32917804094747466
receptions,0.585,0.29987188226977357,0.4283367838545436
rushing_yards,0.485,0.7166814424884176,0.5982352537071361
carries,0.44999999999999996,0.5913932694839108,0.6292031647277616
rushing_yards,0.45499999999999996,0.41155760734193125,0.583474410324184
carries,0.47,0.3852675937194602,0.49956378917600003
receiving_yards,0.55,0.300101201961795,0.399183187579654
receptions,0.575,0.28774361899853484,0.37579846926814847
rushing_yards,0.655,0.7563656224996976,0.6254156682078271
carries,0.475,0.7828434345161821,0.31478385541201964
rushing_yards,0.56,0.6615132658061446,0.6246732526906298
carries,0.505,0.44789190748833324,0.820365143358448
receiving_yards,0.51,0.509048862058987,0.35781152714313175
receptions,0.505,0.36526801824931615,0.21743703740228357
rushing_yards,0.505,0.18245142312654128,0.5242679207677994
carries,0.45499999999999996,0.08435526900445228,0.28199656980593973
rushing_yards,0.51,0.20227544468944392,0.4582160537127492
carries,0.46499999999999997,0.08332785060558778,0.18673228706752784
receiving_yards,0.45,0.39942890441193074,0.34024805530949054
receptions,0.485,0.26765156050033456,0.3544922954415675
rushing_yards,0.51,0.39771791271588186,0.5670893496770412
carries,0.485,0.22583912569392553,0.513023249524805
rushing_yards,0.495,0.3234186924725756,0.5282700388433731
receiving_yards,0.355,0.29944567473985845,0.29285664999177813
receptions,0.61,0.45068121464823463,0.5207526859170708
rushing_yards,0.5,0.5393918085727719,0.5946109840140923
carries,0.51,0.7686541996318459,0.38423705578432205
receiving_yards,0.495,0.5738765346238129,0.5026233982861216
receptions,0.575,0.5925027101630239,0.5173593684536814
rushing_yards,0.52,0.28483910908290766,0.33532441527056467
carries,0.45999999999999996,0.36047968164744343,0.2778138017458739
receiving_yards,0.505,0.5426583301856289,0.4084744067763919
receptions,0.525,0.4198324084367268,0.4440059301910075
rushing_yards,0.53,0.34207504480345885,0.5723499902862792
rushing_yards,0.53,0.319922311510038,0.5620396558561196
rushing_yards,0.51,0.5099664152417919,0.5648017731218012
carries,0.515,0.23653813489008274,0.4846603468053043
receiving_yards,0.515,0.42357014358369993,0.27037961334107496
receptions,0.53,0.5058030434740933,0.386916331442286
carries,0.41500000000000004,0.035513864812190536,0.038695565468350054
receiving_yards,0.5349999999999999,0.18250994381159247,0.24977369931871812
receptions,0.63,0.362,0.3481486576203163
receiving_yards,0.55,0.16857733198213176,0.3219274534872824
receptions,0.355,0.044,0.15953743097913425
