model,stat,rule,n,mae,bias,slope,corr,q5_bias
wr_te,receiving_yards,D:blend a=0.75,3979,20.013484921395662,3.5620228108089442,0.7374949782034869,0.5559579705385362,12.506674883029248
wr_te,receptions,current(prod),3979,1.5154392434327157,0.27537501479963433,1.0696034097354161,0.5610297278564939,-0.07839106030889109
wr_te,receptions,raw_glm,3979,1.4027849508501393,0.22996565359290688,0.7827372553272766,0.6015612100852944,0.8043053074724043
wr_te,receptions,trailing_only,3979,1.4758786814612943,0.26358622601208603,0.7585626876274155,0.5818662052720917,0.8516371077762619
wr_te,receptions,A:shrink->trailing,3979,1.4251594440792537,0.2518591730830231,0.8031293489656206,0.5999121904315733,0.7377967405161341
wr_te,receptions,B:coldstart_style,3979,1.3908097515200568,0.20854609913593736,0.792996139989801,0.6090690405527414,0.7631059860441907
wr_te,receptions,D:blend a=0.25,3979,1.4403313297971558,0.25518108290729113,0.7983698370456551,0.5996059581496436,0.7503581847101257
wr_te,receptions,D:blend a=0.50,3979,1.41467732958545,0.24677593980249624,0.816654349654015,0.6091193359109317,0.7442234848890168
wr_te,receptions,D:blend a=0.75,3979,1.4004120648927931,0.23837079669770178,0.8109220384603109,0.6096426581347621,0.7487244408801867
wr_te,rushing_tds,current(prod),3979,0.0105850087041562,0.0001464759775700675,3.692217600621149,0.14480470566948778,-0.004165109451065088
wr_te,rushing_tds,raw_glm,3979,0.010322746483176295,5.5815643655197575e-06,1.6745892817663988,0.1705994345047737,-0.003349640397083206
wr_te,rushing_tds,trailing_only,3979,0.015893715306904182,0.005775062356166226,0.09143900017219028,0.05279800646231508,0.005775062356166226
wr_te,rushing_tds,A:shrink->trailing,3979,0.012096701535883816,0.0019074954415418547,0.24177320268428473,0.08176908369119841,0.004623114956664847
wr_te,rushing_tds,B:coldstart_style,3979,0.012065376781838255,0.001759236131839051,0.30864897038924616,0.07172319508859709,0.004088545577754614
wr_te,rushing_tds,D:blend a=0.25,3979,0.014500973100972208,0.004332692158216047,0.13515575055469115,0.06064271414862142,0.012394549182940088
wr_te,rushing_tds,D:blend a=0.50,3979,0.013108230895040235,0.0028903219602658715,0.23133841682152934,0.07440856364919238,0.007138747416857331
wr_te,rushing_tds,D:blend a=0.75,3979,0.011715488689108265,0.0014479517623156943,0.5189103753123067,0.10353190562278759,0.0018829456507745805
wr_te,rushing_yards,current(prod),3979,1.271398806785937,0.11317323264346402,0.6717346923904484,0.10433032223890097,-0.5523329600360118
wr_te,rushing_yards,raw_glm,3979,1.2202189113248725,0.07803507940312282,0.3094960315651911,0.09091807426693271,-0.3816952091238841
wr_te,rushing_yards,trailing_only,3979,1.6195292730447994,0.6950148182311873,0.28193128972345355,0.18302894443941173,2.014423076923077
wr_te,rushing_yards,A:shrink->trailing,3979,1.3523075578487436,0.3059065608895458,0.3071184890583407,0.13670687097584264,0.17173263047590215
wr_te,rushing_yards,B:coldstart_style,3979,1.2852122297602484,0.20688553964654954,0.3946962977144081,0.13928929059188208,-0.0951970619043021
wr_te,rushing_yards,D:blend a=0.25,3979,1.5062057579883428,0.5407698835241712,0.3232834660877131,0.17597850929971373,1.0797569105963714
wr_te,rushing_yards,D:blend a=0.50,3979,1.3990108845400204,0.38652494881715516,0.3661323566929678,0.1632226597758152,0.4832998202004859
wr_te,rushing_yards,D:blend a=0.75,3979,1.3051340824604396,0.232280014110139,0.3863530319387145,0.13862143933868956,-0.020087676719970693
wr_te,targets,current(prod),3979,2.0902326399682165,0.4703850680891324,1.05918436759996,0.6077965519866673,-0.09069507809818678
wr_te,targets,raw_glm,3979,1.8954928515225131,0.36844588988343174,0.7892607516702058,0.6582158165412169,1.1964518642808661
wr_te,targets,trailing_only,3979,1.9308345367758828,0.29209647065190847,0.8031505355879307,0.6479069107811856,0.9787581699346415
wr_te,targets,A:shrink->trailing,3979,1.901652714546211,0.3572959792308148,0.8167838735392978,0.6599347581209791,1.1219356934218476
wr_te,targets,B:coldstart_style,3979,1.8599160867189717,0.30180392199821693,0.7998360720072789,0.6682606647095631,1.1201683256353148
wr_te,targets,D:blend a=0.25,3979,1.8963692669239907,0.3111838254597892,0.8296071897189529,0.6626141124931324,0.9926049494579416
wr_te,targets,D:blend a=0.50,3979,1.8774401076582408,0.33027118026767033,0.8357401092610638,0.6691707219128266,1.0112443254865395
wr_te,targets,D:blend a=0.75,3979,1.8774987145889483,0.3493585350755515,0.8213960956113152,0.667454873137788,1.0993855295134551
