stat,mkt,mult,p_base,p_ctx
receiving_yards,0.465,0.8757616083311158,0.10100555713960291,0.04575069764150286
receptions,0.495,0.8757616083311158,0.117,0.059
rushing_yards,0.45499999999999996,0.9890250938973293,0.3522840855019823,0.3427464649356472
carries,0.475,1.0,0.22583912569392553,0.22583912569392553
rushing_yards,0.515,1.1265462650966658,0.39771791271588186,0.4799691821312332
receptions,0.47,1.1763547018244322,0.4956649398888412,0.4956649398888412
rushing_yards,0.51,1.1763547018244322,0.9170959723148182,0.9673784659715938
receiving_yards,0.45499999999999996,0.8757616083311158,0.4464404062630777,0.3572185261105498
receptions,0.59,0.8757616083311158,0.402,0.293
receiving_yards,0.605,1.2032328109924217,0.6281212074377913,0.6855569614471029
receptions,0.55,1.2032328109924217,0.564,0.713
carries,0.475,1.0,0.09997269289063676,0.09997269289063676
receiving_yards,0.325,0.9262098565804806,0.365716539833568,0.31907222897302706
receptions,0.575,0.9262098565804806,0.5291331855209233,0.5291331855209233
rushing_yards,0.525,0.9779271582169542,0.2138681887273418,0.20462077857184413
receiving_yards,0.495,1.1472680586288189,0.3376608019558619,0.42516199421386625
receptions,0.565,1.1472680586288189,0.339,0.457
receiving_yards,0.535,1.0420313101104495,0.8309665126298138,0.8550396229214909
receptions,0.495,1.0420313101104495,0.446,0.677
attempts,0.48,1.0,0.415615601151736,0.415615601151736
completions,0.49,1.0,0.524703777039755,0.524703777039755
passing_tds,0.615,0.8757616083311158,0.724562154553126,0.724562154553126
passing_yards,0.56,0.8757616083311158,0.609,0.483
rushing_yards,0.5549999999999999,0.8757616083311158,0.6313989019705801,0.5489267911735728
passing_tds,0.33,1.032030406337834,0.3626396188740966,0.3626396188740966
passing_yards,0.5800000000000001,1.032030406337834,0.522,0.552
rushing_yards,0.5,0.9518727048747012,0.295960356566286,0.2648722740329133
rushing_yards,0.505,0.9123059804501072,0.5099664152417919,0.4363925920269668
carries,0.535,1.0,0.15537470767382708,0.15537470767382708
receptions,0.45499999999999996,0.9508777785613969,0.3726807710277621,0.3726807710277621
rushing_yards,0.49,0.9165087022278526,0.13762263077283754,0.09614806551588628
rushing_yards,0.56,0.046584377586267094,0.21011555545390692,0.0
receiving_yards,0.52,1.023276394858911,0.21504361778108394,0.22461603870986357
receptions,0.44,1.023276394858911,0.174,0.174
receiving_yards,0.56,0.8757616083311158,0.8393661848436893,0.7743918673957798
receptions,0.48,0.8757616083311158,0.451,0.451
attempts,0.52,1.0,0.5177970914238127,0.5177970914238127
completions,0.51,1.0,0.5773857662525348,0.5773857662525348
passing_tds,0.335,1.0332453931500096,0.4815345390678297,0.4815345390678297
passing_yards,0.555,1.0332453931500096,0.592,0.625
carries,0.45499999999999996,1.0,0.14408781990645958,0.14408781990645958
rushing_yards,0.45999999999999996,0.9096331265992507,0.21974209104547626,0.1787600638750625
rushing_yards,0.49,0.8757616083311158,0.7166814424884176,0.5950785314794017
carries,0.515,1.0,0.44789190748833324,0.44789190748833324
receiving_yards,0.495,0.8957375196953583,0.509048862058987,0.44148690871220075
receptions,0.495,0.8957375196953583,0.36526801824931615,0.36526801824931615
rushing_yards,0.575,0.8760269141274897,0.6615132658061446,0.5657940165131147
receiving_yards,0.575,0.8757616083311158,0.7559959701328988,0.6796112890762852
receptions,0.47,0.8757616083311158,0.443,0.443
receiving_yards,0.535,0.9245466784283999,0.7245307625698091,0.695106650033041
receptions,0.52,0.9245466784283999,0.389,0.389
receiving_yards,0.51,1.1472177538768942,0.7267192823307485,0.7814368497536661
receptions,0.445,1.1472177538768942,0.632,0.632
carries,0.46499999999999997,1.0,0.7828434345161821,0.7828434345161821
rushing_yards,0.645,1.2032328109924217,0.7563656224996976,0.8164676240497868
receiving_yards,0.505,0.8979540819475286,0.4669876797716008,0.4105284682863545
receptions,0.525,0.8979540819475286,0.365,0.289
carries,0.43999999999999995,1.0,0.08435526900445228,0.08435526900445228
